Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
CN,鄂州市,赵家坝,"30.3714,114.8989",PM2.5,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
CL,Curanilahue,Balneario Curanilahue,"-37.4851316926,-73.3316264735",PM2.5,Chile - SINCA,µg/m³,22.0,2021-08-06T13:00:00+02:00,Chile
CN,长沙市,湖南中医药大学,"28.1308,112.8908",PM2.5,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
CN,赣州市,华坚鞋城,"25.8471,114.8905",NO2,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
CN,漯河市,召陵区卫健委,"33.5906,114.0967",PM2.5,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
CN,无锡市,荣巷,"31.5631,120.245",PM2.5,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
CN,吉林市,江南公园,"43.8306,126.555",PM2.5,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
GB,Bradford,Bradford Mayo Avenue,"53.771245,-1.759774",NO2,DEFRA,µg/m³,22.0,2021-08-06T13:00:00+02:00,United Kingdom
CN,伊春市,美溪镇,"47.6417,129.1368",PM2.5,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
TH,Samut Prakan,"City Hall, Samut Prakan","13.599149,100.597345",PM2.5,Air4Thai,µg/m³,22.0,2021-08-06T14:00:00+02:00,Thailand
CN,周口市,川汇区环保局,"33.6406,114.6369",PM2.5,ChinaAQIData,µg/m³,22.0,2021-08-06T13:00:00+02:00,China
PL,Gorzów Wielkopolski,Gorzów Wlkp. ul. Kosynierów Gdyńskich,"52.738214,15.228667",NO2,GIOS,µg/m³,22.0358,2021-08-06T14:00:00+02:00,Poland
IT,Salerno,IT1041A,"40.70222,14.785",NO2,EEA Italy,µg/m³,22.07,2021-08-06T13:00:00+02:00,Italy
US,Indianapolis,Indpls-Washington Pa,"39.8108,-86.1147",PM2.5,AirNow,µg/m³,22.2,2021-08-06T13:00:00+02:00,United States
CL,Calama,Estación Centro,"-22.4621446446,-68.9280616934",NO2,Chile - SINCA,µg/m³,22.23,2021-08-06T13:00:00+02:00,Chile
US,Klamath Falls,Klamath Falls - Pete,"42.190296,-121.731369",PM2.5,AirNow,µg/m³,22.3,2021-08-06T13:00:00+02:00,United States
RS,Grad Beograd,RS0028A,"44.798746,20.450184",NO2,EEA Servia,µg/m³,22.32992,2021-08-06T14:00:00+02:00,Serbia
NO,Oslo,Bryn skole,"59.91416,10.82472",PM2.5,Norway,µg/m³,22.414314,2021-08-06T13:00:00+02:00,Norway
CL,Coronel,Lota urbana,"-37.0776198097,-73.1541364986",PM2.5,Chile - SINCA,µg/m³,22.49,2021-08-06T13:00:00+02:00,Chile
IS,Hafnarfjörður,Hafnarfjörður Norðurhella,"64.04416,-21.98535",NO2,Umhverfisstofnun,µg/m³,22.5183,2021-08-06T14:00:00+02:00,Iceland
CL,Talcahuano,Consultorio - San Vicente,"-36.7236951418,-73.1236588652",NO2,Chile - SINCA,µg/m³,22.52,2021-08-06T13:00:00+02:00,Chile
RO,Suceava,RO0190A,"47.9531809995,26.068125",NO2,EEA Romania,µg/m³,22.52847083,2021-08-06T13:00:00+02:00,Romania
US,Gulfport-Biloxi,GPORT YC,"30.39,-89.0497",PM2.5,AirNow,µg/m³,22.6,2021-08-06T13:00:00+02:00,United States
US,KLAMATH,Chiloquin,"42.541077,-121.921636",PM2.5,AirNow,µg/m³,22.6,2021-08-06T13:00:00+02:00,United States
NO,Sarpsborg,Vollgata,"59.279,11.12217",SO2,Norway,µg/m³,22.640435,2021-08-06T13:00:00+02:00,Norway
RO,Bistriţa-Năsaud,RO0111A,"47.1273765595,24.49542809",NO2,EEA Romania,µg/m³,22.66210453,2021-08-06T13:00:00+02:00,Romania
US,CEDAR,ELDOSPGS,"37.70097,-94.03474",PM2.5,AirNow,µg/m³,22.7,2021-08-06T13:00:00+02:00,United States
MK,Kicevo Municipality,MK0035A,"41.5144499995,20.95862",NO2,EEA Macedonia,µg/m³,22.729,2021-08-06T02:00:00+02:00,"Macedonia, The former Yugoslav Rep. of"
RS,Grad Beograd,RS0037A,"44.796959,20.475288",SO2,EEA Servia,µg/m³,22.7955,2021-08-06T13:00:00+02:00,Serbia
FI,Ostrobothnia,FI00465,"63.0951499996,21.61832",NO2,EEA Finland,µg/m³,22.9103761,2021-08-06T13:00:00+02:00,Finland
US,TWIN FALLS,Twin Falls PM25,"42.565089,-114.494717",PM2.5,AirNow,µg/m³,23.0,2021-08-06T13:00:00+02:00,United States
CN,果洛藏族自治州,玛沁县大武镇,"34.4714,100.2561",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,大庆市,萨尔图区,"46.586,125.153",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,抚顺市,望花区,"41.8491,123.7977",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
GB,Derby,Derby St Alkmund's Way,"52.922983,-1.469507",NO2,DEFRA,µg/m³,23.0,2021-08-06T13:00:00+02:00,United Kingdom
CN,中卫市,沙坡头区政府站,"37.5162,105.1698",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,廊坊市,开发区,"39.5589,116.7214",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,鹤岗市,东山纸板厂,"47.3388,130.3114",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,信阳市,平桥分局,"32.1059,114.1099",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
IT,Parma,IT1105A,"44.78833,10.33667",NO2,EEA Italy,µg/m³,23.0,2021-08-06T11:00:00+02:00,Italy
CN,新余市,第二水厂,"27.8246,114.9231",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,汉中市,汉川机床厂子校(对照点),"33.1842,106.9893",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
US,CLARK,Jeffersonville - Bat,"38.288191,-85.741337",PM2.5,AirNow,µg/m³,23.0,2021-08-06T13:00:00+02:00,United States
